UNIT NBR;MOVE KIND;CARRIER VISIT;CA;LOAI PTVT;LOAI CAU BEN;STS QUAY;TIME STS QUAY;GAP DELAY;REASON;TIME COMPLETED;PUT CHE NAME;TIME OF FETCH;FETCH CHE NAME;CARRY CHE NAME;FROM POSITION;TO POSITION;UNIT TYPE ISO;UNIT VGM VERIFIED;LINE OP;STS YARD;STS YARD TIME;STS CARRY;STS CARRY START TIME;STS CARRY END TIME;RESTOW REASON
JXJU3319979;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:59:30;;;2026-05-28 18:06:30;RTG09;2026-05-28 17:59:30;QC03;TT37;V-MBK17N-010084;Y-CMIT-4G27D.1;22G1;FCL;ZIM;RTG09;28/18:06;TT37;2026-05-28 17:59:30;2026-05-28 18:06:30;
JXLU6218670;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:56:30;7;WAITING;2026-05-28 18:05:30;RTG05;2026-05-28 17:56:30;QC03;TT11;V-MBK17N-020184;Y-CMIT-4H02F.4;45G1;FCL;ZIM;RTG05;28/18:05;TT11;2026-05-28 17:56:30;2026-05-28 18:05:30;
TCNU2299811;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:49:30;1;;2026-05-28 18:05:30;RTG03;2026-05-28 17:49:30;QC06;TT36;V-MBK17N-260384;Y-CMIT-4H14C.2;45G1;FCL;ZIM;RTG03;28/18:05;TT36;2026-05-28 17:49:30;2026-05-28 18:05:30;
ZIMU3131410;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:40:30;2;;2026-05-28 18:05:30;RTG14;2026-05-28 17:40:30;QC05;TT33;V-MBK17N-191004;Y-CMIT-4E11B.3;22G1;FCL;ZIM;RTG14;28/18:05;TT33;2026-05-28 17:40:30;2026-05-28 18:05:30;
JXJU3427398;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:53:30;6;WAITING;2026-05-28 18:04:30;RTG15;2026-05-28 17:53:30;QC05;TT23;V-MBK17N-190706;Y-CMIT-3E07E.3;22G1;FCL;ZIM;RTG15;28/18:04;TT23;2026-05-28 17:53:30;2026-05-28 18:04:30;
TGBU5934696;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:51:30;2;;2026-05-28 18:03:30;RTG05;2026-05-28 17:51:30;QC06;TT03;V-MBK17N-260382;Y-CMIT-4H02A.1;45G1;FCL;ZIM;RTG05;28/18:03;TT03;2026-05-28 17:51:30;2026-05-28 18:03:30;
TRHU2679409;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:55:30;2;;2026-05-28 18:03:30;RTG08;2026-05-28 17:55:30;QC05;TT21;V-MBK17N-190502;Y-CMIT-4A25C.3;22G1;FCL;ZIM;RTG08;28/18:03;TT21;2026-05-28 17:55:30;2026-05-28 18:03:30;
TGBU2010528;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:45:30;5;WAITING;2026-05-28 18:03:30;RTG14;2026-05-28 17:45:30;QC05;TT25;V-MBK17N-191002;Y-CMIT-4E11C.2;22G1;FCL;ZIM;RTG14;28/18:03;TT25;2026-05-28 17:45:30;2026-05-28 18:03:30;
JXJU3328142;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:47:30;1;;2026-05-28 18:03:30;RTG13;2026-05-28 17:47:30;QC05;TT16;V-MBK17N-190702;Y-CMIT-3A07E.2;22G1;FCL;ZIM;RTG13;28/18:03;TT16;2026-05-28 17:47:30;2026-05-28 18:03:30;
TLLU5295528;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:47:30;5;WAITING;2026-05-28 18:02:30;RTG05;2026-05-28 17:47:30;QC03;TT09;V-MBK17N-020382;Y-CMIT-4H02E.2;45G1;FCL;ZIM;RTG05;28/18:02;TT09;2026-05-28 17:47:30;2026-05-28 18:02:30;
ZCSU7567043;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:48:30;2;;2026-05-28 18:02:30;RTG03;2026-05-28 17:48:30;QC06;TT41;V-MBK17N-260386;Y-CMIT-4H14C.1;45G1;FCL;ZIM;RTG03;28/18:02;TT41;2026-05-28 17:48:30;2026-05-28 18:02:30;
JXJU3427696;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:53:30;;;2026-05-28 18:02:30;RTG15;2026-05-28 17:53:30;QC05;TT23;V-MBK17N-170706;Y-CMIT-3E07E.2;22G1;FCL;ZIM;RTG15;28/18:02;TT23;2026-05-28 17:53:30;2026-05-28 18:02:30;
SEGU2668127;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:45:30;;;2026-05-28 18:01:30;RTG14;2026-05-28 17:45:30;QC05;TT25;V-MBK17N-171002;Y-CMIT-4E11C.1;22G1;FCL;ZIM;RTG14;28/18:01;TT25;2026-05-28 17:45:30;2026-05-28 18:01:30;
TEMU4670562;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:55:30;;;2026-05-28 18:01:30;RTG08;2026-05-28 17:55:30;QC05;TT21;V-MBK17N-170502;Y-CMIT-4A25C.2;22G1;FCL;ZIM;RTG08;28/18:01;TT21;2026-05-28 17:55:30;2026-05-28 18:01:30;
TCLU3398982;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:47:30;;;2026-05-28 18:01:30;RTG13;2026-05-28 17:47:30;QC05;TT16;V-MBK17N-170702;Y-CMIT-3A07E.1;22G1;FCL;ZIM;RTG13;28/18:01;TT16;2026-05-28 17:47:30;2026-05-28 18:01:30;
TEMU0194067;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:40:30;;;2026-05-28 18:00:30;RTG15;2026-05-28 17:40:30;QC05;TT33;V-MBK17N-171004;Y-CMIT-3E07F.2;22G1;FCL;ZIM;RTG15;28/18:00;TT33;2026-05-28 17:40:30;2026-05-28 18:00:30;
BSIU8281241;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:59:30;;;2026-05-28 17:59:30;RTG02;2026-05-28 17:58:30;RTG02;RTG02;Y-CMIT-1G26G.4;Y-CMIT-1G26E.3;45G1;FCL;HLC;RTG02;28/17:59;;;;
FANU3662218;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:58:30;;;2026-05-28 17:58:30;RTG14;2026-05-28 17:50:30;RTG07;TT34;Y-CMIT-2B16F.4;Y-CMIT-4E02G.5;45G1;FCL;HLC;RTG07 & RTG14;28/17:50 & 28/17:58;TT34;2026-05-28 17:50:30;2026-05-28 17:58:30;
ZCSU7489980;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:49:30;2;;2026-05-28 17:58:30;RTG03;2026-05-28 17:49:30;QC03;TT19;V-MBK17N-020582;Y-CMIT-4H02G.4;45G1;FCL;ZIM;RTG03;28/17:58;TT19;2026-05-28 17:49:30;2026-05-28 17:58:30;
GSLU2053541;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:46:30;1;;2026-05-28 17:58:30;RTG01;2026-05-28 17:46:30;QC05;TT27;V-MBK17N-191006;Y-CMIT-3J17C.2;22G1;FCL;ZIM;RTG01;28/17:58;TT27;2026-05-28 17:46:30;2026-05-28 17:58:30;
BSIU2892496;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:58:30;1;;2026-05-28 17:58:30;QC04;2026-05-28 17:41:30;RTG12;TT04;Y-CMIT-3F23G.4;V-MBK17N-110704;22G1;FCL;ZIM;RTG12;28/17:41;TT04;2026-05-28 17:41:30;2026-05-28 17:58:30;
BSIU3375116;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:57:30;2;;2026-05-28 17:57:30;QC04;2026-05-28 17:44:30;RTG12;TT04;Y-CMIT-3F23G.3;V-MBK17N-090704;22G1;FCL;ZIM;RTG12;28/17:44;TT04;2026-05-28 17:44:30;2026-05-28 17:57:30;
GAOU7551921;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:57:30;;;2026-05-28 17:57:30;RTG02;2026-05-28 17:56:30;RTG02;RTG02;Y-CMIT-1G26E.3;Y-CMIT-1G26B.4;45G1;FCL;MAE;RTG02;28/17:57;;;;
TIIU4694054;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:57:30;;;2026-05-28 17:57:30;RTG07;2026-05-28 17:47:30;RTG07;TT42;Y-CMIT-2B16F.5;Y-CMIT-4B06F.5;45G1;FCL;MAE;RTG07 & RTG07;28/17:47 & 28/17:57;TT42;2026-05-28 17:47:30;2026-05-28 17:57:30;
HLBU2219008;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:57:30;;;2026-05-28 17:57:30;RTG13;2026-05-28 17:47:30;RTG02;TT31;Y-CMIT-1G26B.3;Y-CMIT-3A14G.4;45G1;FCL;HLC;RTG02 & RTG13;28/17:47 & 28/17:57;TT31;2026-05-28 17:47:30;2026-05-28 17:57:30;
HAMU3287692;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:56:30;;;2026-05-28 17:56:30;RTG05;2026-05-28 17:41:30;RTG07;TT07;Y-CMIT-2B16C.4;Y-CMIT-3H20D.3;45G1;FCL;HLC;RTG07 & RTG05;28/17:41 & 28/17:56;TT07;2026-05-28 17:41:30;2026-05-28 17:56:30;
TEMU4668740;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:43:30;1;;2026-05-28 17:56:30;RTG08;2026-05-28 17:43:30;QC06;TT37;V-MBK17N-270682;Y-CMIT-4A11C.2;22G1;FCL;ZIM;RTG08;28/17:56;TT37;2026-05-28 17:43:30;2026-05-28 17:56:30;
TRHU3247396;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:46:30;;;2026-05-28 17:56:30;RTG01;2026-05-28 17:46:30;QC05;TT27;V-MBK17N-171006;Y-CMIT-3J17D.4;22G1;FCL;ZIM;RTG01;28/17:56;TT27;2026-05-28 17:46:30;2026-05-28 17:56:30;
ZIMU3029223;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:45:30;2;;2026-05-28 17:55:30;RTG14;2026-05-28 17:45:30;QC06;TT13;V-MBK17N-270882;Y-CMIT-4E11E.3;22G1;FCL;ZIM;RTG14;28/17:55;TT13;2026-05-28 17:45:30;2026-05-28 17:55:30;
ZCSU7480468;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:46:30;1;;2026-05-28 17:55:30;RTG03;2026-05-28 17:46:30;QC06;TT35;V-MBK17N-260588;Y-CMIT-4H02G.3;45G1;FCL;ZIM;RTG03;28/17:55;TT35;2026-05-28 17:46:30;2026-05-28 17:55:30;
JXLU4411041;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:55:30;2;;2026-05-28 17:55:30;QC04;2026-05-28 17:53:30;RTG10;TT22;Y-CMIT-4D30E.2;V-MBK17N-100604;45G1;FCL;ZIM;RTG10;28/17:53;TT22;2026-05-28 17:53:30;2026-05-28 17:55:30;
BSIU2972903;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:43:30;;;2026-05-28 17:55:30;RTG08;2026-05-28 17:43:30;QC06;TT37;V-MBK17N-250682;Y-CMIT-4A11C.1;22G1;FCL;ZIM;RTG08;28/17:55;TT37;2026-05-28 17:43:30;2026-05-28 17:55:30;
UETU5436745;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:55:30;;;2026-05-28 17:55:30;RTG05;2026-05-28 17:45:30;RTG07;TT12;Y-CMIT-2B16C.2;Y-CMIT-3H20D.2;45G1;FCL;HLC;RTG07 & RTG05;28/17:45 & 28/17:55;TT12;2026-05-28 17:45:30;2026-05-28 17:55:30;
HAMU2577640;GATE IN;50E47930;D1 28/05/2026;;GATE;;2026-05-28 17:54:30;;;2026-05-28 17:54:30;RTG09;;;;T-50E47930-TIP;Y-CMIT-4G16A.2;45G1;FCL;HLC;RTG09;28/17:54;;;;
BSIU2591614;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:45:30;;;2026-05-28 17:53:30;RTG14;2026-05-28 17:45:30;QC06;TT13;V-MBK17N-250882;Y-CMIT-4E09C.1;22G1;FCL;ZIM;RTG14;28/17:53;TT13;2026-05-28 17:45:30;2026-05-28 17:53:30;
ZCSU6100558;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:53:30;4;WAITING;2026-05-28 17:53:30;QC04;2026-05-28 17:49:30;RTG11;TT15;Y-CMIT-3C12B.2;V-MBK17N-100806;45G1;FCL;ZIM;RTG11;28/17:49;TT15;2026-05-28 17:49:30;2026-05-28 17:53:30;
FFAU1075157;GATE OUT;51C98935;D1 28/05/2026;;GATE;;2026-05-28 17:53:30;;;2026-05-28 17:53:30;;2026-05-28 17:53:30;RTG12;;Y-CMIT-2F32B.1;T-51C98935-TIP-S;45G1;FCL;KMT;RTG12;28/17:53;;;;
TRHU2687528;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:30:30;3;;2026-05-28 17:52:30;RTG15;2026-05-28 17:30:30;QC05;TT21;V-MBK17N-190606;Y-CMIT-3E07F.1;22G1;FCL;ZIM;RTG15;28/17:52;TT21;2026-05-28 17:30:30;2026-05-28 17:52:30;
TCNU4252942;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:52:30;;;2026-05-28 17:52:30;RTG03;2026-05-28 17:49:30;RTG03;RTG03;Y-CMIT-4H14C.1;Y-CMIT-4H14A.2;45G1;FCL;ZIM;RTG03;28/17:52;;;;
HAMU2616807;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:52:30;;;2026-05-28 17:52:30;RTG02;2026-05-28 17:50:30;RTG02;RTG02;Y-CMIT-1G26D.4;Y-CMIT-1G26B.3;45G1;FCL;HLC;RTG02;28/17:52;;;;
TRHU3227609;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:42:30;3;;2026-05-28 17:51:30;RTG09;2026-05-28 17:42:30;QC06;TT23;V-MBK17N-270582;Y-CMIT-4G27C.2;22G1;FCL;ZIM;RTG09;28/17:51;TT23;2026-05-28 17:42:30;2026-05-28 17:51:30;
TCKU6017953;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:51:30;;;2026-05-28 17:51:30;RTG01;2026-05-28 17:36:30;RTG13;TT18;Y-CMIT-2A10A.1;Y-CMIT-4J06F.1;45G1;FCL;ZIM;RTG13 & RTG01;28/17:36 & 28/17:51;TT18;2026-05-28 17:36:30;2026-05-28 17:51:30;
ZCSU6779726;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:37:30;1;;2026-05-28 17:50:30;RTG14;2026-05-28 17:37:30;QC03;TT08;V-MBK17N-020386;Y-CMIT-4E02B.1;45G1;FCL;ZIM;RTG14;28/17:50;TT08;2026-05-28 17:37:30;2026-05-28 17:50:30;
FDCU0122668;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:50:30;;;2026-05-28 17:50:30;RTG13;2026-05-28 17:41:30;RTG15;TT30;Y-CMIT-3E16G.4;Y-CMIT-1A10E.5;45G1;FCL;HLC;RTG15 & RTG13;28/17:41 & 28/17:50;TT30;2026-05-28 17:41:30;2026-05-28 17:50:30;
TRHU2913543;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:30:30;;;2026-05-28 17:50:30;RTG15;2026-05-28 17:30:30;QC05;TT21;V-MBK17N-170606;Y-CMIT-3E07E.1;22G1;FCL;ZIM;RTG15;28/17:50;TT21;2026-05-28 17:30:30;2026-05-28 17:50:30;
TGCU5280808;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:50:30;;;2026-05-28 17:50:30;RTG12;2026-05-28 17:48:30;RTG12;RTG12;Y-CMIT-2F32B.2;Y-CMIT-2F32F.4;45G1;FCL;GFS;RTG12;28/17:50;;;;
ZCSU7937960;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:42:30;1;;2026-05-28 17:50:30;RTG05;2026-05-28 17:42:30;QC03;TT03;V-MBK17N-020584;Y-CMIT-4H02F.3;45G1;FCL;ZIM;RTG05;28/17:50;TT03;2026-05-28 17:42:30;2026-05-28 17:50:30;
FANU1736590;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:49:30;;;2026-05-28 17:49:30;RTG02;2026-05-28 17:48:30;RTG02;RTG02;Y-CMIT-1G26D.5;Y-CMIT-1G26A.2;45G1;FCL;HLC;RTG02;28/17:49;;;;
ZCSU7377906;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:49:30;1;;2026-05-28 17:49:30;QC04;2026-05-28 17:44:30;RTG11;TT28;Y-CMIT-3C12A.2;V-MBK17N-100504;45G1;FCL;ZIM;RTG11;28/17:44;TT28;2026-05-28 17:44:30;2026-05-28 17:49:30;
TRHU2967030;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:42:30;;;2026-05-28 17:49:30;RTG09;2026-05-28 17:42:30;QC06;TT23;V-MBK17N-250582;Y-CMIT-4G27C.1;22G1;FCL;ZIM;RTG09;28/17:49;TT23;2026-05-28 17:42:30;2026-05-28 17:49:30;
FANU1443191;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:48:30;;;2026-05-28 17:48:30;RTG14;2026-05-28 17:46:30;RTG14;RTG14;Y-CMIT-4E02B.1;Y-CMIT-4E02E.2;45G1;FCL;HLC;RTG14;28/17:48;;;;
HLBU1926310;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:48:30;;;2026-05-28 17:48:30;RTG10;2026-05-28 17:43:30;RTG07;TT10;Y-CMIT-2B16C.3;Y-CMIT-3D34E.3;45G1;FCL;HLC;RTG07 & RTG10;28/17:43 & 28/17:48;TT10;2026-05-28 17:43:30;2026-05-28 17:48:30;
JXLU6434051;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:48:30;2;;2026-05-28 17:48:30;QC04;2026-05-28 17:40:30;RTG11;TT01;Y-CMIT-3C12B.3;V-MBK17N-101010;4510;FCL;ZIM;RTG11;28/17:40;TT01;2026-05-28 17:40:30;2026-05-28 17:48:30;
FCIU7462459;SHIFTING;;D1 28/05/2026;;YARD;;2026-05-28 17:48:30;;;2026-05-28 17:48:30;RTG12;2026-05-28 17:46:30;RTG12;RTG12;Y-CMIT-2F32B.3;Y-CMIT-2F32F.3;45G1;FCL;KMT;RTG12;28/17:48;;;;
JXJU3243430;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:38:30;2;;2026-05-28 17:47:30;RTG08;2026-05-28 17:38:30;QC05;TT36;V-MBK17N-190802;Y-CMIT-4A25C.1;22G1;FCL;ZIM;RTG08;28/17:47;TT36;2026-05-28 17:38:30;2026-05-28 17:47:30;
HAMU2580324;HOUSE KEEPING;;D1 28/05/2026;;YARD;;2026-05-28 17:47:30;;;2026-05-28 17:47:30;RTG13;2026-05-28 17:36:30;RTG15;TT14;Y-CMIT-3E16D.1;Y-CMIT-1A10F.3;45G1;FCL;HLC;RTG15 & RTG13;28/17:36 & 28/17:47;TT14;2026-05-28 17:36:30;2026-05-28 17:47:30;
CAAU7145622;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:41:30;2;;2026-05-28 17:47:30;RTG05;2026-05-28 17:41:30;QC03;TT11;V-MBK17N-020186;Y-CMIT-4H02E.1;45G1;FCL;ZIM;RTG05;28/17:47;TT11;2026-05-28 17:41:30;2026-05-28 17:47:30;
TCKU7712461;GATE IN;50H26228;D1 28/05/2026;;GATE;;2026-05-28 17:47:30;;;2026-05-28 17:47:30;RTG01;;;;T-50H26228-TIP;Y-CMIT-3J02D.5;45G1;FCL;MAE;RTG01;28/17:47;;;;
ZCSU6794084;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:37:30;1;;2026-05-28 17:46:30;RTG09;2026-05-28 17:37:30;QC06;TT19;V-MBK17N-261082;Y-CMIT-4G12C.3;45G1;FCL;ZIM;RTG09;28/17:46;TT19;2026-05-28 17:37:30;2026-05-28 17:46:30;
ZCSU7597433;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC03;2026-05-28 17:39:30;2;;2026-05-28 17:46:30;RTG05;2026-05-28 17:39:30;QC03;TT41;V-MBK17N-020384;Y-CMIT-4H02F.2;45G1;FCL;ZIM;RTG05;28/17:46;TT41;2026-05-28 17:39:30;2026-05-28 17:46:30;
ZCSU6678870;LOAD;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC04;2026-05-28 17:46:30;2;;2026-05-28 17:46:30;QC04;2026-05-28 17:39:30;RTG11;TT15;Y-CMIT-3C12A.3;V-MBK17N-100502;45G1;FCL;ZIM;RTG11;28/17:39;TT15;2026-05-28 17:39:30;2026-05-28 17:46:30;
TCNU7198887;GATE IN;61H02521;D1 28/05/2026;;GATE;;2026-05-28 17:45:30;;;2026-05-28 17:45:30;RTG10;;;;T-61H02521-TIP;Y-CMIT-3D18D.3;45G1;FCL;MAE;RTG10;28/17:45;;;;
CAAU2662495;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:36:30;2;;2026-05-28 17:45:30;RTG14;2026-05-28 17:36:30;QC05;TT40;V-MBK17N-190806;Y-CMIT-4E09F.4;22G1;FCL;ZIM;RTG14;28/17:45;TT40;2026-05-28 17:36:30;2026-05-28 17:45:30;
JZPU4096950;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC05;2026-05-28 17:38:30;;;2026-05-28 17:44:30;RTG08;2026-05-28 17:38:30;QC05;TT36;V-MBK17N-170802;Y-CMIT-4A25D.3;22G1;FCL;ZIM;RTG08;28/17:44;TT36;2026-05-28 17:38:30;2026-05-28 17:44:30;
JXLU6317414;DISCHARGE;MBK17N;D1 28/05/2026;VESSEL;CMIT QUAY;QC06;2026-05-28 17:35:30;2;;2026-05-28 17:44:30;RTG03;2026-05-28 17:35:30;QC06;TT35;V-MBK17N-260884;Y-CMIT-4H26B.4;45G1;FCL;ZIM;RTG03;28/17:44;TT35;2026-05-28 17:35:30;2026-05-28 17:44:30;
